iter	RMSE
0	1.91664607
1	1.750782252
2	1.602637742
3	1.471761724
4	1.353841817
5	1.245648205
6	1.148866036
7	1.06307211
8	0.9885714987
9	0.9227048563
10	0.8631598182
11	0.8093637267
12	0.7632166193
13	0.7231655739
14	0.6866229644
15	0.6551713461
16	0.6289612044
17	0.606130579
18	0.5859961562
19	0.5681876857
20	0.5534017917
21	0.5399182881
22	0.5287149731
23	0.5190291598
24	0.5108125287
25	0.5037907961
26	0.4973866528
27	0.4917251448
28	0.486262096
29	0.4817903939
30	0.4782047167
31	0.4749256572
32	0.4719374419
33	0.4688751873
34	0.4666065385
35	0.4645511199
36	0.4622051225
37	0.4604508371
38	0.4587914861
39	0.4573017299
40	0.4560321895
41	0.4547796604
42	0.4533025713
43	0.4521809541
44	0.4509712
45	0.4501742763
46	0.4491497516
47	0.4482278525
48	0.4474786813
49	0.4460201077
50	0.4452871744
51	0.444598967
52	0.4437960205
53	0.443209995
54	0.4425042987
55	0.4418421189
56	0.4411486816
57	0.4403797602
58	0.4398333479
59	0.4391823607
60	0.4384653648
61	0.4382032582
62	0.4372219852
63	0.4366616581
64	0.4361685918
65	0.4358063932
66	0.4354554816
67	0.4348663194
68	0.4343746599
69	0.4340191383
70	0.4335431689
71	0.4332449462
72	0.4327473758
73	0.4323817541
74	0.4320207795
75	0.4316289916
76	0.4312297166
77	0.4307550569
78	0.4300459291
79	0.4293067102
80	0.4290602618
81	0.4287228013
82	0.4282701231
83	0.4276842368
84	0.4274102191
85	0.4269098079
86	0.4266776228
87	0.4262741851
88	0.426034381
89	0.425591586
90	0.4250003896
91	0.4245410508
92	0.4244079702
93	0.4238967346
94	0.4236041667
95	0.4233260026
96	0.4228700818
97	0.4225326587
98	0.4222236437
99	0.4218387069
100	0.4215312711
101	0.4210528979
102	0.4206349155
103	0.4202022802
104	0.4198527452
105	0.4194931737
106	0.4190380508
107	0.418518864
108	0.4181882784
109	0.4177988008
110	0.4174413154
111	0.4171607873
112	0.4164927522
113	0.4161433757
114	0.4158809219
115	0.4153384235
116	0.4148300703
117	0.4145365996
118	0.4141984615
119	0.4139443815
120	0.4134576301
121	0.4132261433
122	0.4129886916
123	0.4127854686
124	0.4123505731
125	0.4118771443
126	0.4114657196
127	0.4111645578
128	0.4109160562
129	0.4105316344
130	0.4103279205
131	0.4100118993
132	0.4097657707
133	0.4095528441
134	0.4091983751
135	0.4089632308
136	0.408694341
137	0.4085190084
138	0.4081509016
139	0.4078963428
140	0.4076246935
141	0.4073959438
142	0.4072015015
143	0.4069129704
144	0.4065159693
145	0.4063518786
146	0.4060708312
147	0.405894037
148	0.405509487
149	0.4053077729
150	0.4048929807
151	0.4046864032
152	0.4044520965
153	0.4041415419
154	0.4038626519
155	0.4036196243
156	0.4034488981
157	0.4032186489
158	0.4029395716
159	0.4027436978
160	0.4026072856
161	0.4024395354
162	0.4022229329
163	0.4019630791
164	0.4016578319
165	0.4014802811
166	0.4012072625
167	0.4009113761
168	0.4007039128
169	0.4004174183
170	0.4001660134
171	0.399916657
172	0.3996868926
173	0.3994803167
174	0.3992579689
175	0.3990543513
176	0.3989087792
177	0.3987278419
178	0.3985405467
179	0.3982410821
180	0.3980489184
181	0.3978831224
182	0.3976697214
183	0.3974150886
184	0.3972315814
185	0.3970723152
186	0.3968346537
187	0.3965687436
188	0.3963888223
189	0.3962032785
190	0.3959461606
191	0.3958289501
192	0.395558622
193	0.3953834512
194	0.3951322609
195	0.3949292201
196	0.3947621967
197	0.3945913921
198	0.3943153919
199	0.3941229522
200	0.3939622709
201	0.393765647
202	0.3936369755
203	0.3935061644
204	0.3932764972
205	0.3931173445
206	0.3930116823
207	0.3928287922
208	0.3926711144
209	0.3925778032
210	0.3924728198
211	0.3923172225
212	0.3921857771
213	0.3920304682
214	0.3918566669
215	0.3917009575
216	0.3915987156
217	0.3914983699
218	0.3913292924
219	0.391232953
220	0.3910891454
221	0.3908692393
222	0.3907435389
223	0.3906475842
224	0.3905129021
225	0.3903688715
226	0.3902268958
227	0.3901121975
228	0.3899921979
229	0.3898230242
230	0.3896070923
231	0.3894874095
232	0.3893399306
233	0.3891493801
234	0.3890393738
235	0.3889135815
236	0.3887949309
237	0.3886739897
238	0.3884479004
239	0.3882000639
240	0.3881029221
241	0.3879755355
242	0.3878617788
243	0.3877280671
244	0.3876049035
245	0.3875041832
246	0.3874102037
247	0.3872961277
248	0.3871786331
249	0.3870983735
250	0.3870082243
251	0.3868876433
252	0.3867563639
253	0.3866354519
254	0.3865114897
255	0.3864568092
256	0.3862725459
257	0.3861421147
258	0.3860380734
259	0.3859011931
260	0.3857542559
261	0.3856783248
262	0.38556797
263	0.3853933964
264	0.3852395527
265	0.3851494401
266	0.3850546065
267	0.384918882
268	0.3848270317
269	0.3847594429
270	0.3846192678
271	0.3845042328
272	0.3842853358
273	0.3841849835
274	0.3840439012
275	0.3838862431
276	0.3837859579
277	0.383642349
278	0.383563336
279	0.3834952206
280	0.3833171283
281	0.3832221442
282	0.3832055921
283	0.3831403865
284	0.3830059596
285	0.3829295934
286	0.3826853125
287	0.3825447752
288	0.3824294
289	0.3822507305
290	0.3821483589
291	0.3820521441
292	0.3819034023
293	0.3817903112
294	0.3817525814
295	0.3816965581
296	0.3816614115
297	0.3815490233
298	0.3814794456
299	0.3814362999
300	0.3813666841
301	0.3812860318
302	0.3811515213
303	0.3810915539
304	0.3809674802
305	0.3808021895
306	0.3807293511
307	0.3806035911
308	0.3805163872
309	0.3804163831
310	0.3803315182
311	0.3802061904
312	0.3801020278
313	0.3799889099
314	0.3797998854
315	0.3797445344
316	0.3796602686
317	0.3795811866
318	0.3794478861
319	0.3793917912
320	0.3792450099
321	0.3791505552
322	0.3790810688
323	0.3790139551
324	0.3789204213
325	0.3788564348
326	0.3786954156
327	0.3786164119
328	0.3784788381
329	0.378314733
330	0.3782175238
331	0.3781567482
332	0.3779897298
333	0.3778591627
334	0.3777751168
335	0.3777166969
336	0.3775646659
337	0.3774757751
338	0.3774035798
339	0.3773173782
340	0.3772503516
341	0.377194517
342	0.3771240619
343	0.3770845155
344	0.377016692
345	0.3769476689
346	0.3768278167
347	0.3767662047
348	0.3766743524
349	0.376601486
350	0.3764594351
351	0.3764167249
352	0.3763333994
353	0.37625982
354	0.3761838177
355	0.3761310229
356	0.3760776693
357	0.3760455245
358	0.3759833395
359	0.375914554
360	0.3758516336
361	0.3757702066
362	0.3757301683
363	0.3756236376
364	0.3755600289
365	0.3753664481
366	0.3753150041
367	0.375210248
368	0.3751819339
369	0.3751017748
370	0.3749622158
371	0.3748943874
372	0.3748103232
373	0.3747562785
374	0.3746360622
375	0.3745893526
376	0.3745194349
377	0.3744020002
378	0.3742995928
379	0.3742300339
380	0.3741090862
381	0.3740267414
382	0.3739175515
383	0.3738293809
384	0.3737538792
385	0.373661189
386	0.373578748
387	0.3735377766
388	0.3734350835
389	0.3733590788
390	0.373301297
391	0.3732327917
392	0.3732242092
393	0.3731130549
394	0.3730879084
395	0.3730163708
396	0.3729757507
397	0.3729188728
398	0.372855025
399	0.3727529702
400	0.3726343627
401	0.3725348004
402	0.3725136981
403	0.3724031447
404	0.3723019428
405	0.3721921907
406	0.3721730286
407	0.3720738166
408	0.3719801713
409	0.3718098118
410	0.3717566585
411	0.371690329
412	0.3716235216
413	0.3715354188
414	0.3714971481
415	0.3714430075
416	0.3713669642
417	0.3712907987
418	0.3712122661
419	0.3711028593
420	0.3710220812
421	0.3709576703
422	0.3708926437
423	0.3708427583
424	0.3707784485
425	0.3707320249
426	0.3706376428
427	0.3705105487
428	0.3703891183
429	0.3703087945
430	0.370251352
431	0.3702045472
432	0.3701453007
433	0.370032433
434	0.3699571147
435	0.3699124754
436	0.3698539051
437	0.3698134338
438	0.3697334185
439	0.3697024053
440	0.3696329554
441	0.3695096701
442	0.3694624422
443	0.3693776058
444	0.3693380495
445	0.36929161
446	0.3692679834
447	0.3692599838
448	0.3692193182
449	0.3691380593
450	0.3690473609
451	0.3689688069
452	0.3689065896
453	0.3688155034
454	0.3687428061
455	0.3686913286
456	0.3686173125
457	0.3685456807
458	0.3684977115
459	0.368409033
460	0.3683589922
461	0.3682957451
462	0.3682887702
463	0.3682105955
464	0.3681787209
465	0.3681129678
466	0.3680800912
467	0.3680155828
468	0.3679620149
469	0.3679047423
470	0.3678460825
471	0.3677967156
472	0.3677174001
473	0.3676477374
474	0.3675837329
475	0.3674948643
476	0.3674597631
477	0.3673942302
478	0.3673259807
479	0.3672645398
480	0.3671729504
481	0.367067756
482	0.367028342
483	0.3669887405
484	0.3669050287
485	0.3668172821
486	0.3667194693
487	0.3666319838
488	0.3665955607
489	0.3665009948
490	0.3664266037
491	0.3663953384
492	0.3663356254
493	0.3662626922
494	0.366222866
495	0.3661241141
496	0.3660977565
497	0.366043508
498	0.3659913344
499	0.3659301748
500	0.365868093
501	0.3657935555
502	0.3657045588
503	0.3656647277
504	0.3656437304
505	0.3656020103
506	0.3655309621
507	0.3655159462
508	0.3654473081
509	0.3653878364
510	0.3653123197
511	0.3652565075
512	0.3652084332
513	0.3651446663
514	0.365078855
515	0.365045081
516	0.3649958034
517	0.3649455571
518	0.3648849586
519	0.3648342052
520	0.364794741
521	0.3647599546
522	0.3647329733
523	0.3646020097
524	0.3645730486
525	0.3645382027
526	0.3645072879
527	0.364416359
528	0.3643451461
529	0.3643167824
530	0.3642652011
531	0.3642283646
532	0.3641675919
533	0.3641104898
534	0.3640779176
535	0.3640403448
536	0.3639857955
537	0.3639297689
538	0.363872914
539	0.3638347483
540	0.3637288368
541	0.3637051436
542	0.3636497525
543	0.3636415862
544	0.3635996079
545	0.3635753187
546	0.3635325357
547	0.3634612475
548	0.363434211
549	0.3634271162
550	0.3633901702
551	0.3633776295
552	0.3633067281
553	0.3632243852
554	0.363089679
555	0.363061223
556	0.3630084651
557	0.3629402184
558	0.3628960541
559	0.3628497887
560	0.3628048967
561	0.3627583976
562	0.3626919757
563	0.362633912
564	0.3626237255
565	0.3625575157
566	0.3624764522
567	0.3624135453
568	0.3623710163
569	0.3623427225
570	0.3622253527
571	0.3621312438
572	0.3620914002
573	0.3620597702
574	0.3620436359
575	0.3619955218
576	0.3619647248
577	0.3619380502
578	0.3618400138
579	0.3618393424
580	0.3617988387
581	0.3617086776
582	0.3616482905
583	0.3616155176
584	0.3615616313
585	0.3615415407
586	0.3614414378
587	0.361364423
588	0.361334087
589	0.3612814069
590	0.3612325356
591	0.3611893937
592	0.3611291564
593	0.361054799
594	0.3609565716
595	0.3608699314
596	0.3608123442
597	0.3607054572
598	0.3606708298
599	0.3605987548
600	0.3605592261
601	0.3605207227
602	0.3604495429
603	0.3604284259
604	0.36038863
605	0.3603506779
606	0.3602899913
607	0.3602489101
608	0.3601631539
609	0.3601066695
610	0.3600460784
611	0.3599618566
612	0.3599169742
613	0.3598525114
614	0.3598180883
615	0.3597241235
616	0.3596740662
617	0.3596064771
618	0.3595523995
619	0.3594725721
620	0.359453919
621	0.359420227
622	0.3594017904
623	0.3593859173
624	0.3593561382
625	0.3592569261
626	0.3592303162
627	0.3592009137
628	0.3591791071
629	0.3591438812
630	0.3591214386
631	0.3590958654
632	0.3590913395
633	0.3590302007
634	0.3589811173
635	0.3589021065
636	0.358851649
637	0.3588013859
638	0.3587512243
639	0.3586879489
640	0.3586594143
641	0.358607129
642	0.3585703407
643	0.3584948691
644	0.3584632964
645	0.3584023819
646	0.3583443751
647	0.3583164218
648	0.3582373761
649	0.3582037978
650	0.3580918121
651	0.3580669637
652	0.3580318678
653	0.3579851351
654	0.3579444698
655	0.3579253248
656	0.3578972529
657	0.3578503068
658	0.3578113835
659	0.357766841
660	0.3577089941
661	0.3576484233
662	0.3576359962
663	0.3575733925
664	0.3575490129
665	0.3575106097
666	0.3574527338
667	0.3574080448
668	0.3573769631
669	0.3573503158
670	0.3573167903
671	0.3572411407
672	0.3571919333
673	0.3571602505
674	0.3571290046
675	0.3570987227
676	0.3570682677
677	0.3570548852
678	0.3570299429
679	0.3569837276
680	0.3569643929
681	0.3569219733
682	0.3568795934
683	0.356860942
684	0.3568179716
685	0.3568014686
686	0.3567642805
687	0.3567419141
688	0.3567188408
689	0.3566987344
690	0.3566675649
691	0.356609517
692	0.3565667197
693	0.3565087675
694	0.3564798141
695	0.3564388276
696	0.3563765867
697	0.3563389052
698	0.3563009385
699	0.356268956
700	0.3562171882
701	0.3561176791
702	0.3560434315
703	0.3559809453
704	0.3559085666
705	0.3558748712
706	0.3558703105
707	0.3558164196
708	0.355764606
709	0.3557203089
710	0.3556805788
711	0.3556440601
712	0.3556118477
713	0.3555294046
714	0.3554912131
715	0.3554169692
716	0.3554003215
717	0.3553336702
718	0.3552880767
719	0.3552102753
720	0.355198002
721	0.3551647418
722	0.3551171457
723	0.355065983
724	0.3550118527
725	0.3549739364
726	0.3549519152
727	0.3549005003
728	0.3548799158
729	0.3548434245
730	0.3548018087
731	0.3547880739
732	0.3546795716
733	0.3546483454
734	0.3546212223
735	0.3545927216
736	0.3545696346
737	0.3545272535
738	0.3544947626
739	0.3544765435
740	0.35438767
741	0.354354483
742	0.3543268447
743	0.3542808746
744	0.3542397884
745	0.3541346866
746	0.3540871084
747	0.3540779074
748	0.3539904779
749	0.353959295
750	0.3538947631
751	0.3538670669
752	0.3537891121
753	0.3537455787
754	0.3537293867
755	0.3536651811
756	0.3536383058
757	0.3536255841
758	0.3535764584
759	0.3535295847
760	0.3535140981
761	0.3534610717
762	0.3534327946
763	0.3533775479
764	0.3533211085
765	0.3532628501
766	0.3532330108
767	0.3532034666
768	0.3531765754
769	0.3531000209
770	0.353055119
771	0.3529753026
772	0.3529342142
773	0.3529096725
774	0.3528825403
775	0.3528446424
776	0.3527952006
777	0.3527681932
778	0.3527389018
779	0.3527139652
780	0.3526513134
781	0.3526314708
782	0.3525977639
783	0.3525378312
784	0.3525237341
785	0.3524871064
786	0.35245943
787	0.3524069835
788	0.3523846079
789	0.3523483141
790	0.3523195796
791	0.352280347
792	0.3522039793
793	0.352164629
794	0.3521573134
795	0.3521377189
796	0.352067676
797	0.3520437208
798	0.352021581
799	0.3519796761
800	0.3519708728
801	0.3519090335
802	0.3518491108
803	0.3518155534
804	0.3518015432
805	0.3517821096
806	0.3517383178
807	0.3517016703
808	0.3516786991
809	0.3516324514
810	0.3516020504
811	0.3515603403
812	0.351495171
813	0.3514126572
814	0.3513849092
815	0.3513657761
816	0.3513413994
817	0.351284487
818	0.3512460611
819	0.3512095935
820	0.3511785306
821	0.351100884
822	0.3510111149
823	0.3509774007
824	0.3509445659
825	0.3508960965
826	0.350872124
827	0.3508586278
828	0.3508337799
829	0.3508119267
830	0.3507041862
831	0.3506670349
832	0.3506229994
833	0.3506016268
834	0.3505582878
835	0.3505404967
836	0.3505068181
837	0.3504894884
838	0.3504568755
839	0.3504284163
840	0.3504041816
841	0.350381082
842	0.3503601444
843	0.3503268792
844	0.3502844025
845	0.35026708
846	0.3502531533
847	0.3501814834
848	0.3501252026
849	0.3500563734
850	0.3500521332
851	0.3499597262
852	0.3499229952
853	0.349850395
854	0.3498210894
855	0.3497851532
856	0.3497544769
857	0.3496913922
858	0.3496426996
859	0.3496015295
860	0.3495584111
861	0.3495401026
862	0.3494815926
863	0.3494383971
864	0.3493897353
865	0.3493617985
866	0.349341019
867	0.3493327333
868	0.3493135203
869	0.3492554169
870	0.3492090773
871	0.3491769632
872	0.349127458
873	0.349097808
874	0.3490661665
875	0.3490465803
876	0.3489772945
877	0.3489583555
878	0.3489512668
879	0.3489359086
880	0.3488987833
881	0.3488586979
882	0.3488155941
883	0.3488010415
884	0.3487872878
885	0.3487615855
886	0.3487249341
887	0.3487162102
888	0.3486497827
889	0.3486131246
890	0.3485912448
891	0.3485682188
892	0.3485478832
893	0.3485208395
894	0.348492507
895	0.3484755307
896	0.3484538212
897	0.3484327672
898	0.3484019482
899	0.3483783776
900	0.3483580496
901	0.3482974744
902	0.3482878246
903	0.3482593487
904	0.348241408
905	0.3482162861
906	0.3481691869
907	0.3481361301
908	0.3481033401
909	0.3480781406
910	0.3480468457
911	0.3480087969
912	0.3479643852
913	0.3479555503
914	0.3479278655
915	0.3479110691
916	0.3478926395
917	0.347850067
918	0.3478176695
919	0.3477861523
920	0.3477651366
921	0.3477486105
922	0.3477310766
923	0.3477096867
924	0.347664376
925	0.3476417803
926	0.3476158127
927	0.347595264
928	0.3475749907
929	0.3475593869
930	0.3475403333
931	0.3475142872
932	0.3474814365
933	0.3474632863
934	0.3474285549
935	0.3473808817
936	0.347353256
937	0.3473298338
938	0.3473083444
939	0.3472874458
940	0.347215738
941	0.3472054194
942	0.3471731048
943	0.3471516172
944	0.3471304793
945	0.3471001205
946	0.3470752087
947	0.3470282423
948	0.3470116106
949	0.3469922027
950	0.3469704758
951	0.3469474028
952	0.3468844488
953	0.3468308841
954	0.3468137759
955	0.346783646
956	0.3467308822
957	0.3467059757
958	0.3466780493
959	0.3466513188
960	0.3466201277
961	0.3466071802
962	0.3465613852
963	0.3465280427
964	0.3465048099
965	0.3464873787
966	0.3464490082
967	0.3464275949
968	0.3463941526
969	0.3463559468
970	0.34634179
971	0.3462890666
972	0.3462523161
973	0.3462345828
974	0.3462167601
975	0.3461748632
976	0.3461333579
977	0.3461014368
978	0.3460719303
979	0.3460205565
980	0.3459974463
981	0.345964223
982	0.3459488227
983	0.3459353418
984	0.3458842723
985	0.3458499484
986	0.3458358317
987	0.3458061595
988	0.3457572434
989	0.3457340792
990	0.3456844364
991	0.3456533516
992	0.3456366569
993	0.3456041984
994	0.3455782429
995	0.3455507981
996	0.3455376496
997	0.3455068183
998	0.3454793649
999	0.3454615114
