iter	Passed	Remaining
0	176	176041
1	190	95251
2	204	67948
3	218	54311
4	232	46280
5	251	41638
6	267	38011
7	279	34680
8	287	31670
9	293	29104
10	301	27082
11	308	25359
12	315	23917
13	320	22586
14	326	21461
15	332	20452
16	337	19540
17	343	18735
18	348	17992
19	353	17327
20	358	16734
21	367	16321
22	372	15835
23	378	15393
24	383	14971
25	389	14596
26	397	14323
27	402	13977
28	408	13663
29	413	13384
30	419	13104
31	425	12884
32	432	12663
33	438	12461
34	444	12250
35	449	12042
36	455	11849
37	460	11668
38	466	11496
39	472	11338
40	478	11184
41	484	11049
42	490	10914
43	496	10788
44	503	10681
45	510	10578
46	517	10490
47	523	10392
48	530	10291
49	536	10202
50	543	10107
51	550	10028
52	558	9975
53	566	9922
54	573	9847
55	579	9774
56	586	9706
57	594	9648
58	601	9591
59	608	9535
60	616	9483
61	622	9422
62	629	9359
63	635	9293
64	641	9226
65	646	9153
66	652	9086
67	659	9036
68	666	8988
69	673	8942
70	679	8887
71	685	8834
72	691	8779
73	696	8720
74	702	8664
75	708	8611
76	713	8554
77	718	8498
78	725	8460
79	732	8420
80	738	8376
81	743	8327
82	749	8277
83	755	8233
84	761	8197
85	768	8167
86	775	8142
87	782	8107
88	788	8068
89	793	8026
90	799	7985
91	804	7942
92	809	7898
93	815	7860
94	820	7819
95	826	7783
96	833	7755
97	840	7732
98	846	7706
99	852	7675
100	858	7638
101	863	7605
102	869	7571
103	875	7540
104	880	7507
105	886	7473
106	891	7443
107	898	7421
108	905	7400
109	912	7382
110	918	7358
111	925	7339
112	931	7310
113	936	7279
114	942	7249
115	947	7224
116	953	7197
117	961	7185
118	967	7162
119	973	7140
120	979	7115
121	985	7089
122	991	7072
123	998	7051
124	1004	7034
125	1011	7018
126	1019	7004
127	1026	6991
128	1033	6976
129	1039	6958
130	1045	6932
131	1050	6907
132	1056	6884
133	1061	6861
134	1068	6844
135	1073	6821
136	1079	6799
137	1086	6786
138	1093	6772
139	1099	6755
140	1105	6735
141	1111	6714
142	1116	6691
143	1121	6668
144	1127	6649
145	1133	6629
146	1139	6610
147	1145	6596
148	1152	6583
149	1159	6569
150	1164	6549
151	1170	6527
152	1176	6513
153	1182	6498
154	1188	6481
155	1194	6463
156	1200	6444
157	1205	6426
158	1212	6412
159	1218	6399
160	1225	6383
161	1230	6366
162	1236	6347
163	1241	6329
164	1247	6311
165	1252	6294
166	1259	6283
167	1265	6268
168	1272	6255
169	1279	6245
170	1285	6233
171	1291	6219
172	1297	6202
173	1303	6188
174	1309	6173
175	1315	6158
176	1321	6144
177	1326	6127
178	1333	6117
179	1341	6109
180	1348	6102
181	1356	6096
182	1362	6083
183	1368	6068
184	1374	6054
185	1383	6056
186	1389	6042
187	1397	6034
188	1403	6023
189	1410	6012
190	1417	6002
191	1423	5989
192	1430	5982
193	1436	5969
194	1442	5955
195	1448	5941
196	1454	5927
197	1461	5918
198	1468	5909
199	1474	5899
200	1480	5886
201	1486	5873
202	1492	5859
203	1497	5844
204	1505	5836
205	1512	5829
206	1519	5820
207	1526	5811
208	1532	5800
209	1538	5788
210	1545	5778
211	1551	5765
212	1557	5755
213	1563	5742
214	1569	5730
215	1576	5722
216	1583	5713
217	1588	5699
218	1594	5685
219	1599	5672
220	1605	5658
221	1610	5644
222	1616	5631
223	1621	5617
224	1626	5603
225	1633	5594
226	1640	5585
227	1647	5577
228	1653	5568
229	1659	5556
230	1665	5545
231	1671	5533
232	1677	5520
233	1683	5511
234	1689	5498
235	1694	5486
236	1701	5477
237	1707	5468
238	1714	5458
239	1719	5445
240	1725	5433
241	1731	5422
242	1737	5412
243	1743	5400
244	1749	5391
245	1755	5382
246	1763	5375
247	1769	5365
248	1775	5353
249	1780	5341
250	1785	5328
251	1791	5316
252	1796	5304
253	1802	5292
254	1809	5285
255	1815	5277
256	1822	5268
257	1828	5257
258	1833	5246
259	1839	5236
260	1845	5225
261	1851	5214
262	1856	5203
263	1862	5191
264	1868	5182
265	1875	5174
266	1881	5165
267	1888	5157
268	1894	5147
269	1900	5137
270	1905	5126
271	1911	5115
272	1917	5106
273	1923	5095
274	1929	5086
275	1936	5078
276	1943	5071
277	1949	5064
278	1955	5053
279	1960	5042
280	1966	5031
281	1971	5020
282	1976	5007
283	1982	4998
284	1988	4988
285	1994	4978
286	2001	4971
287	2008	4964
288	2015	4957
289	2021	4950
290	2028	4942
291	2034	4934
292	2040	4924
293	2046	4914
294	2051	4903
295	2058	4895
296	2064	4887
297	2070	4878
298	2077	4870
299	2083	4860
300	2089	4851
301	2095	4842
302	2101	4833
303	2106	4823
304	2112	4813
305	2117	4803
306	2125	4797
307	2131	4789
308	2138	4782
309	2144	4773
310	2150	4764
311	2156	4755
312	2161	4745
313	2168	4737
314	2174	4729
315	2180	4720
316	2187	4713
317	2194	4706
318	2201	4698
319	2206	4689
320	2213	4682
321	2220	4676
322	2227	4669
323	2234	4661
324	2240	4652
325	2247	4645
326	2254	4639
327	2261	4633
328	2268	4626
329	2275	4619
330	2281	4610
331	2287	4601
332	2293	4593
333	2299	4584
334	2304	4575
335	2312	4569
336	2318	4560
337	2324	4551
338	2329	4542
339	2334	4532
340	2342	4526
341	2348	4517
342	2353	4508
343	2358	4498
344	2364	4489
345	2371	4483
346	2378	4476
347	2392	4481
348	2398	4474
349	2403	4464
350	2409	4455
351	2415	4446
352	2421	4437
353	2426	4427
354	2433	4421
355	2440	4414
356	2447	4407
357	2453	4399
358	2459	4392
359	2466	4384
360	2473	4378
361	2480	4371
362	2486	4363
363	2492	4355
364	2499	4348
365	2506	4341
366	2513	4334
367	2520	4328
368	2526	4320
369	2533	4313
370	2540	4306
371	2547	4300
372	2553	4292
373	2559	4284
374	2567	4278
375	2574	4271
376	2580	4264
377	2586	4256
378	2592	4248
379	2598	4239
380	2603	4230
381	2609	4221
382	2616	4215
383	2623	4208
384	2630	4202
385	2636	4194
386	2643	4186
387	2649	4178
388	2655	4170
389	2660	4161
390	2666	4153
391	2672	4145
392	2679	4137
393	2686	4131
394	2692	4123
395	2698	4115
396	2704	4108
397	2710	4099
398	2716	4091
399	2721	4082
400	2727	4074
401	2733	4066
402	2739	4058
403	2747	4052
404	2755	4047
405	2761	4040
406	2767	4032
407	2775	4026
408	2782	4020
409	2789	4013
410	2795	4006
411	2802	4000
412	2810	3993
413	2816	3986
414	2821	3977
415	2827	3969
416	2834	3962
417	2840	3954
418	2846	3947
419	2852	3939
420	2859	3931
421	2866	3926
422	2873	3920
423	2880	3913
424	2886	3905
425	2892	3897
426	2898	3889
427	2904	3881
428	2910	3873
429	2916	3865
430	2923	3859
431	2929	3852
432	2936	3845
433	2942	3838
434	2948	3830
435	2954	3822
436	2960	3814
437	2966	3806
438	2973	3799
439	2978	3791
440	2984	3783
441	2992	3777
442	2999	3770
443	3005	3763
444	3011	3755
445	3017	3747
446	3023	3740
447	3029	3733
448	3036	3726
449	3042	3718
450	3049	3711
451	3056	3706
452	3063	3699
453	3069	3691
454	3075	3684
455	3081	3676
456	3087	3668
457	3092	3660
458	3099	3652
459	3106	3646
460	3113	3639
461	3119	3632
462	3124	3624
463	3130	3616
464	3136	3608
465	3142	3601
466	3148	3594
467	3154	3586
468	3160	3578
469	3168	3572
470	3175	3566
471	3182	3559
472	3188	3552
473	3194	3545
474	3201	3538
475	3207	3530
476	3212	3522
477	3219	3516
478	3227	3510
479	3234	3504
480	3240	3496
481	3246	3489
482	3252	3481
483	3258	3473
484	3264	3466
485	3270	3458
486	3277	3452
487	3284	3446
488	3291	3440
489	3298	3432
490	3304	3425
491	3310	3417
492	3316	3410
493	3322	3403
494	3328	3395
495	3336	3390
496	3343	3383
497	3349	3376
498	3355	3368
499	3362	3362
500	3369	3355
501	3376	3349
502	3383	3343
503	3390	3336
504	3397	3330
505	3404	3324
506	3412	3318
507	3418	3311
