iter	RMSE
0	1.91664607
1	1.750359366
2	1.602243079
3	1.473392484
4	1.355913613
5	1.24778008
6	1.15020157
7	1.065110051
8	0.9902556596
9	0.9236121012
10	0.8639956796
11	0.810507112
12	0.763481093
13	0.7224610004
14	0.6888814225
15	0.657552489
16	0.630287665
17	0.6076386376
18	0.5872355225
19	0.569468927
20	0.5545178829
21	0.5414482416
22	0.5303158353
23	0.5205136512
24	0.5120643378
25	0.5049081792
26	0.498098985
27	0.4926406997
28	0.4873954728
29	0.482978232
30	0.4786419936
31	0.4752543846
32	0.4723301734
33	0.4693193487
34	0.4670991083
35	0.4649937554
36	0.4628544875
37	0.4610893436
38	0.459297016
39	0.457852215
40	0.4563557076
41	0.4548443643
42	0.4536272721
43	0.4521869301
44	0.4511009775
45	0.450068165
46	0.449019965
47	0.4481560505
48	0.4474023215
49	0.4461398203
50	0.4451270543
51	0.4444452853
52	0.4435261497
53	0.4429520131
54	0.4422963016
55	0.4416580413
56	0.4410772854
57	0.4402724341
58	0.4397970936
59	0.4391740762
60	0.4387093431
61	0.4384253946
62	0.4376893624
63	0.436981398
64	0.4364474462
65	0.4359269168
66	0.4355485795
67	0.4349929225
68	0.4345346463
69	0.4341744173
70	0.4336934732
71	0.433327705
72	0.4327936409
73	0.4321632444
74	0.4317865996
75	0.4312417894
76	0.4307693416
77	0.4303738615
78	0.429976588
79	0.429620174
80	0.4293771775
81	0.4288297896
82	0.428412687
83	0.4278980663
84	0.4275567452
85	0.4270472695
86	0.4266473394
87	0.42624803
88	0.4260812389
89	0.42572363
90	0.4253076829
91	0.424819887
92	0.4246584367
93	0.4244341286
94	0.4242241029
95	0.4238636291
96	0.4234001264
97	0.423111664
98	0.4224827429
99	0.4220707052
100	0.421659485
101	0.4213945425
102	0.4209587174
103	0.4207566723
104	0.4203796263
105	0.4200836497
106	0.4197897081
107	0.4195478957
108	0.4191068852
109	0.4185179546
110	0.4183112562
111	0.4178397624
112	0.4174959098
113	0.4169731295
114	0.4166363341
115	0.4163959248
116	0.4159346423
117	0.4155493871
118	0.4151110686
119	0.4148082753
120	0.4145709243
121	0.4142426145
