iter	Passed	Remaining
0	7	7806
1	16	8032
2	26	8745
3	32	8205
4	39	7829
5	45	7592
6	52	7392
7	58	7241
8	63	7035
9	69	6902
10	74	6741
11	80	6595
12	85	6480
13	90	6360
14	95	6265
15	101	6229
16	106	6166
17	111	6097
18	116	6033
19	121	5969
20	126	5910
21	132	5873
22	137	5830
23	142	5783
24	147	5738
25	152	5698
26	157	5660
27	161	5622
28	166	5586
29	171	5554
30	177	5551
31	184	5568
32	188	5538
33	194	5517
34	199	5496
35	204	5470
36	209	5450
37	214	5430
38	219	5412
39	224	5390
40	229	5373
41	234	5354
42	239	5331
43	244	5316
44	249	5299
45	254	5282
46	259	5264
47	264	5254
48	269	5235
49	274	5220
50	280	5223
51	286	5216
52	291	5204
53	296	5187
54	301	5175
55	306	5158
56	311	5148
57	316	5136
58	321	5123
59	326	5112
60	331	5097
61	335	5082
62	340	5071
63	346	5067
64	351	5057
65	356	5048
66	361	5036
67	366	5024
68	371	5016
69	376	5006
70	381	4995
71	386	4986
72	391	4977
73	397	4969
74	402	4959
75	407	4951
76	412	4942
77	417	4933
78	422	4921
79	426	4909
80	432	4906
81	437	4895
82	442	4886
83	447	4882
84	452	4874
85	457	4865
86	462	4855
87	468	4853
88	474	4859
89	480	4859
90	486	4862
91	534	5278
92	542	5287
93	555	5352
94	563	5367
95	571	5380
96	577	5378
97	583	5373
98	589	5366
99	595	5357
100	601	5353
101	607	5347
102	612	5338
103	618	5326
104	623	5314
105	628	5298
106	633	5285
107	638	5274
108	643	5260
109	648	5249
110	653	5235
111	658	5222
112	664	5218
113	670	5210
114	675	5200
115	681	5195
116	687	5188
117	693	5185
118	698	5173
119	704	5163
120	709	5150
121	714	5138
122	718	5125
123	723	5113
124	728	5100
125	733	5088
126	738	5078
127	743	5065
128	748	5054
129	753	5043
130	758	5032
131	763	5019
132	768	5008
133	773	4996
134	778	4986
135	783	4976
136	788	4965
137	793	4956
138	798	4947
139	804	4942
140	810	4937
141	816	4933
142	822	4928
143	828	4923
144	834	4921
145	840	4917
146	847	4915
147	853	4911
148	859	4908
149	865	4903
150	871	4897
151	877	4892
152	882	4886
153	888	4882
154	895	4882
155	900	4872
156	905	4862
157	910	4854
158	916	4846
159	921	4836
160	926	4828
161	932	4822
162	937	4816
163	943	4809
164	949	4802
165	955	4798
166	964	4808
167	970	4806
168	977	4806
169	986	4818
170	994	4819
171	1000	4816
172	1007	4815
173	1013	4810
174	1019	4806
175	1026	4803
176	1031	4796
177	1037	4790
178	1042	4783
179	1048	4777
180	1054	4769
181	1059	4759
182	1064	4753
183	1070	4748
184	1076	4741
185	1082	4735
186	1089	4737
187	1095	4730
188	1101	4724
189	1106	4718
190	1112	4712
191	1118	4708
192	1124	4702
193	1130	4695
194	1136	4689
195	1141	4683
196	1147	4679
197	1153	4672
198	1159	4667
199	1165	4661
200	1171	4655
201	1176	4648
202	1182	4642
203	1188	4636
204	1193	4630
205	1199	4623
206	1205	4616
207	1210	4610
208	1215	4600
209	1220	4590
210	1225	4582
211	1230	4573
212	1235	4563
213	1240	4554
214	1244	4545
215	1249	4536
216	1254	4527
217	1259	4519
218	1264	4510
219	1269	4501
220	1274	4493
221	1279	4485
222	1285	4480
223	1290	4472
224	1295	4463
225	1300	4455
226	1305	4446
227	1310	4438
228	1316	4431
229	1321	4423
230	1326	4415
231	1331	4407
232	1336	4400
233	1342	4393
234	1347	4386
235	1352	4378
236	1357	4369
237	1362	4361
238	1367	4353
239	1372	4345
240	1377	4337
241	1382	4328
242	1386	4320
243	1392	4313
244	1396	4304
245	1401	4296
246	1406	4287
247	1411	4279
248	1416	4271
249	1421	4263
250	1426	4256
251	1431	4247
252	1437	4244
253	1443	4239
254	1449	4235
255	1460	4243
256	1469	4249
257	1485	4272
258	1500	4291
259	1513	4306
260	1520	4305
261	1527	4302
262	1533	4296
263	1539	4290
264	1545	4285
265	1550	4278
266	1556	4272
267	1561	4264
268	1566	4256
269	1571	4248
270	1576	4240
271	1581	4233
272	1586	4226
273	1592	4218
274	1597	4210
275	1601	4202
276	1606	4194
277	1612	4187
278	1617	4179
279	1622	4171
280	1627	4163
281	1633	4158
282	1638	4150
283	1643	4142
284	1648	4134
285	1653	4126
286	1657	4118
287	1662	4110
288	1667	4101
289	1672	4093
290	1676	4085
291	1681	4077
292	1686	4069
293	1691	4062
294	1696	4054
295	1701	4046
296	1706	4038
297	1711	4030
298	1715	4022
299	1720	4015
300	1725	4007
