iter	Passed	Remaining
0	15	15883
1	28	14329
2	41	13682
3	54	13536
4	66	13276
5	79	13176
6	93	13255
7	103	12844
8	111	12227
9	116	11534
10	121	10918
11	126	10388
12	130	9934
13	136	9638
14	142	9388
15	148	9160
16	154	8937
17	159	8705
18	164	8485
19	169	8301
20	174	8135
21	179	7982
22	184	7838
23	189	7709
24	194	7592
25	200	7516
26	206	7453
27	212	7381
28	218	7306
29	224	7247
30	229	7163
31	234	7082
32	239	7008
33	244	6935
34	249	6869
35	255	6841
36	261	6809
37	267	6779
38	274	6754
39	279	6707
40	284	6661
41	289	6612
42	294	6558
43	300	6528
44	305	6483
45	310	6447
46	317	6432
47	323	6417
48	328	6377
49	334	6346
50	338	6304
51	343	6270
52	348	6233
53	353	6197
54	359	6171
55	365	6158
56	371	6140
57	377	6129
58	383	6117
59	388	6091
60	393	6058
61	398	6026
62	403	5999
63	408	5974
64	413	5947
65	418	5919
66	423	5892
67	427	5863
68	433	5843
69	439	5839
70	445	5829
71	451	5819
72	456	5796
73	461	5771
74	466	5750
75	470	5726
76	475	5700
77	480	5674
78	484	5652
79	489	5630
80	494	5608
81	500	5599
82	506	5597
83	512	5591
84	518	5583
85	523	5568
86	529	5552
87	533	5532
88	538	5512
89	543	5493
90	547	5472
91	552	5451
92	557	5434
93	563	5429
94	569	5425
95	575	5419
96	580	5407
97	585	5391
98	591	5378
99	596	5366
100	600	5348
101	605	5333
102	610	5319
103	615	5303
104	620	5291
105	626	5288
106	632	5280
107	638	5275
108	643	5261
109	648	5247
110	654	5240
111	659	5227
112	664	5212
113	669	5201
114	674	5188
115	678	5173
116	685	5170
117	691	5168
118	697	5164
119	702	5153
120	707	5140
121	712	5128
122	717	5115
123	722	5105
124	727	5092
125	732	5078
126	736	5065
127	741	5051
128	747	5049
129	754	5048
130	760	5045
131	766	5040
132	771	5028
133	776	5019
134	781	5009
135	786	4996
136	791	4987
137	796	4975
138	802	4972
139	809	4969
140	815	4967
141	824	4984
142	829	4973
143	835	4969
144	840	4957
145	845	4945
146	850	4933
147	854	4921
148	860	4912
149	866	4907
150	872	4904
151	878	4902
152	885	4903
153	890	4891
154	895	4880
155	899	4869
156	904	4857
157	909	4845
158	914	4835
159	920	4831
160	925	4824
161	930	4815
162	942	4838
163	947	4827
164	951	4815
165	956	4805
166	961	4794
167	966	4784
168	971	4777
169	976	4767
170	981	4759
171	986	4749
172	991	4740
173	997	4736
174	1003	4728
175	1008	4720
176	1013	4710
177	1017	4701
178	1023	4692
179	1029	4690
180	1035	4684
181	1040	4674
182	1045	4667
183	1050	4658
184	1055	4650
185	1060	4642
186	1066	4635
187	1071	4626
188	1076	4617
189	1081	4611
190	1087	4607
191	1093	4600
192	1098	4592
193	1103	4583
194	1108	4575
195	1113	4566
196	1118	4557
197	1123	4549
198	1128	4541
199	1133	4532
200	1138	4526
201	1145	4524
202	1151	4521
203	1158	4518
204	1163	4511
205	1168	4503
206	1173	4496
207	1179	4489
208	1184	4482
209	1189	4474
210	1194	4468
211	1201	4464
212	1207	4459
213	1213	4457
214	1219	4451
215	1224	4445
216	1229	4436
217	1234	4427
218	1238	4418
219	1243	4409
220	1248	4400
221	1253	4392
222	1259	4388
223	1265	4382
224	1271	4378
225	1276	4373
226	1282	4367
227	1287	4360
228	1292	4353
229	1298	4345
230	1303	4338
231	1308	4330
232	1314	4326
233	1320	4322
234	1326	4318
235	1331	4311
236	1337	4304
237	1342	4298
238	1347	4291
239	1352	4284
240	1357	4276
241	1362	4268
242	1368	4263
243	1374	4258
244	1380	4253
245	1386	4249
246	1391	4243
247	1397	4236
248	1401	4227
249	1406	4220
250	1411	4212
251	1416	4204
252	1421	4196
253	1427	4193
254	1433	4187
255	1439	4182
256	1444	4176
257	1449	4168
258	1454	4162
259	1459	4154
260	1464	4147
261	1469	4139
262	1474	4132
263	1479	4125
264	1486	4121
265	1491	4116
266	1497	4110
267	1502	4104
268	1508	4098
269	1514	4093
270	1520	4089
271	1525	4082
272	1530	4075
273	1536	4070
274	1542	4066
275	1548	4061
276	1553	4056
277	1559	4048
278	1564	4042
279	1568	4034
280	1573	4026
281	1578	4018
282	1583	4011
283	1588	4004
284	1593	3996
285	1599	3993
286	1605	3989
287	1612	3985
288	1617	3980
289	1622	3973
290	1628	3966
291	1632	3958
292	1637	3951
293	1642	3944
294	1647	3936
295	1651	3928
296	1657	3922
297	1663	3918
298	1669	3913
299	1675	3908
300	1680	3901
301	1685	3894
302	1690	3888
303	1695	3880
304	1699	3873
305	1704	3866
306	1709	3859
307	1714	3851
308	1719	3845
309	1726	3841
310	1732	3837
311	1737	3831
312	1742	3823
313	1746	3816
314	1753	3812
315	1758	3805
316	1762	3798
317	1767	3791
318	1772	3784
319	1777	3776
320	1783	3772
321	1789	3768
322	1795	3763
323	1801	3757
324	1805	3750
325	1812	3746
326	1819	3744
327	1824	3738
328	1829	3731
329	1835	3727
330	1841	3722
331	1847	3716
332	1852	3709
333	1856	3702
334	1863	3698
335	1868	3692
336	1873	3685
337	1880	3682
338	1886	3678
339	1891	3671
340	1897	3666
341	1903	3661
342	1908	3656
343	1913	3649
344	1918	3642
345	1927	3642
346	1934	3640
347	1939	3634
348	1944	3627
349	1950	3622
350	1956	3616
351	1961	3610
352	1966	3603
353	1971	3596
354	1975	3589
355	1980	3582
356	1985	3576
357	1991	3571
358	1996	3565
359	2002	3559
360	2008	3555
361	2014	3550
362	2019	3544
363	2025	3538
364	2029	3531
365	2034	3524
366	2039	3518
367	2045	3512
368	2050	3505
369	2055	3500
370	2061	3495
371	2068	3491
372	2073	3485
373	2078	3478
374	2083	3471
375	2087	3464
376	2092	3458
377	2097	3451
378	2102	3445
379	2107	3439
380	2112	3432
381	2118	3426
382	2124	3421
383	2130	3417
384	2136	3412
385	2141	3406
386	2146	3399
387	2151	3393
388	2156	3387
389	2161	3380
390	2166	3374
391	2171	3367
392	2175	3360
393	2181	3355
394	2187	3350
395	2193	3346
396	2199	3340
397	2204	3334
398	2209	3328
399	2214	3322
400	2219	3315
401	2225	3310
402	2230	3303
403	2235	3297
404	2241	3292
405	2248	3289
406	2255	3285
407	2261	3281
408	2267	3276
409	2273	3271
410	2279	3266
411	2284	3260
412	2289	3254
413	2295	3248
414	2301	3243
415	2307	3239
416	2314	3235
417	2320	3230
418	2325	3224
419	2330	3218
420	2335	3212
421	2341	3207
422	2346	3200
423	2351	3194
424	2356	3187
425	2361	3181
426	2367	3176
427	2373	3171
428	2378	3166
429	2383	3159
430	2388	3153
431	2393	3147
432	2398	3140
433	2403	3134
434	2408	3128
435	2413	3122
436	2419	3117
437	2426	3113
438	2432	3108
439	2438	3102
440	2443	3097
441	2448	3091
442	2453	3084
443	2457	3077
444	2462	3071
445	2467	3064
446	2471	3057
447	2477	3052
448	2483	3048
449	2489	3042
450	2494	3036
451	2498	3029
452	2504	3024
453	2510	3019
454	2516	3013
455	2521	3008
456	2527	3002
457	2533	2998
458	2539	2993
459	2545	2988
460	2551	2982
461	2555	2976
462	2561	2970
463	2566	2964
464	2570	2958
465	2576	2952
466	2580	2945
467	2588	2942
468	2593	2936
469	2598	2930
470	2603	2924
471	2609	2918
472	2613	2912
